id,customerId,amount,paymentMethod,status,city,state,timestamp,hour,dayOfWeek,timeSincePrevTxn,amountPercentile,customerAvgAmount,velocity24h,isUnusualHour,isHighAmount,isHighVelocity,isGeoAnomaly,isRapidFire,isSuspicious,anomalyScore,scoreSignals
TXN-mm23fa66-a6e0,CUS-0022,483.14,wallet,declined,Puebla,Puebla,2026-01-01T08:45:28.636Z,8,4,,19,483.14,1,false,false,false,false,false,false,0,
TXN-mm23fa66-7104,CUS-0024,1414.74,credit_card,approved,Ciudad de México,CDMX,2026-01-01T09:06:18.524Z,9,4,,76,1414.74,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-84cd,CUS-0021,269.34,debit_card,declined,Mérida,Yucatán,2026-01-01T13:09:28.901Z,13,4,,4,269.34,1,false,false,false,false,false,false,0,
TXN-mm23fa66-0a5a,CUS-0023,876.1,oxxo,approved,Guadalajara,Jalisco,2026-01-01T18:24:30.320Z,18,4,,50,876.10,1,false,false,false,false,false,false,0,
TXN-mm23fa66-427e,CUS-0024,594.29,credit_card,approved,Ciudad de México,CDMX,2026-01-01T20:06:57.564Z,20,4,39639.04,29,1414.74,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa66-4311,CUS-0025,280.69,debit_card,approved,Ciudad de México,CDMX,2026-01-01T21:10:45.058Z,21,4,,4,280.69,1,false,false,false,false,false,false,0,
TXN-mm23fa5u-96cd,CUS-0944,578.69,spei,approved,Puebla,Puebla,2026-01-02T00:13:17.139Z,0,5,,27,578.69,1,true,false,false,false,false,true,20,Late-night transaction (0 AM)
TXN-mm23fa5v-3d0a,CUS-0920,2079,oxxo,approved,Ciudad de México,CDMX,2026-01-02T00:40:05.831Z,0,5,,89,2079.00,1,true,false,false,false,false,true,20,Late-night transaction (0 AM)
TXN-mm23fa5v-0f87,CUS-0808,3124.73,credit_card,chargeback,Puebla,Puebla,2026-01-02T01:49:18.772Z,1,5,,96,3124.73,1,true,false,false,false,false,true,60,"Late-night transaction (1 AM); Amount 3,125 MXN is 1.0x customer average (z-score: 1.9); Transaction resulted in chargeback; High-risk payment method: Credit Card"
TXN-mm23fa5v-e825,CUS-0297,1947.53,spei,approved,Ciudad de México,CDMX,2026-01-02T03:41:38.383Z,3,5,,88,1947.53,1,true,false,false,false,false,true,20,Late-night transaction (3 AM)
TXN-mm23fa5v-af44,CUS-0389,370.14,debit_card,approved,Guadalajara,Jalisco,2026-01-02T03:50:32.522Z,3,5,,9,370.14,1,true,false,false,false,false,true,20,Late-night transaction (3 AM)
TXN-mm23fa5v-5ee0,CUS-0001,3526.6,credit_card,approved,Tijuana,Baja California,2026-01-02T05:03:34.723Z,5,5,,97,3526.60,1,true,false,false,false,false,true,42,"Late-night transaction (5 AM); Amount 3,527 MXN is 1.0x customer average (z-score: 2.3); Transaction from fraud hotspot: Tijuana; High-risk payment method: Credit Card"
TXN-mm23fa5v-f5f5,CUS-0500,870.92,credit_card,declined,Ciudad de México,CDMX,2026-01-02T06:08:48.385Z,6,5,,50,870.92,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-41f0,CUS-0662,217.89,credit_card,approved,Guadalajara,Jalisco,2026-01-02T06:08:52.525Z,6,5,,2,217.89,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-e2ad,CUS-1069,924.29,credit_card,approved,Guadalajara,Jalisco,2026-01-02T06:21:08.330Z,6,5,,53,924.29,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-edd1,CUS-0630,1629.61,credit_card,approved,Monterrey,Nuevo León,2026-01-02T06:38:38.307Z,6,5,,82,1629.61,1,false,false,false,false,false,false,5,High-risk payment method: Credit Card
TXN-mm23fa5v-4e91,CUS-1423,1736.67,wallet,approved,Puebla,Puebla,2026-01-02T06:47:57.164Z,6,5,,84,1736.67,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-89be,CUS-0104,1179.97,spei,approved,Guadalajara,Jalisco,2026-01-02T06:52:18.884Z,6,5,,67,1179.97,1,false,false,false,false,false,false,0,
TXN-mm23fa5v-9b0d,CUS-1039,1486,spei,approved,Ciudad de México,CDMX,2026-01-02T06:57:17.810Z,6,5,,78,1486.00,1,false,false,false,false,false,false,0,
